year,sector,data_category,data_type,data_value,unit,data_source,area
1990,Agriculture,cultivated area,Agricultural land area,311899.9,Ha,,Mainland
1990,Agriculture,cultivated area,Rice Cultivation Area,384500,Ha,,Mainland
1991,Agriculture,cultivated area,Agricultural land area,315619.9,Ha,,Mainland
1991,Agriculture,cultivated area,Rice Cultivation Area,368700,Ha,,Mainland
1992,Agriculture,cultivated area,Agricultural land area,319339.9,Ha,,Mainland
1992,Agriculture,cultivated area,Rice Cultivation Area,306570,Ha,,Mainland
1993,Agriculture,cultivated area,Agricultural land area,323059.9,Ha,,Mainland
1993,Agriculture,cultivated area,Rice Cultivation Area,353700,Ha,,Mainland
1994,Agriculture,cultivated area,Agricultural land area,326779.9,Ha,,Mainland
1994,Agriculture,cultivated area,Rice Cultivation Area,352600,Ha,,Mainland
1995,Agriculture,cultivated area,Agricultural land area,330499.9,Ha,,Mainland
1995,Agriculture,cultivated area,Rice Cultivation Area,394000,Ha,,Mainland
1996,Agriculture,cultivated area,Agricultural land area,334219.9,Ha,,Mainland
1996,Agriculture,cultivated area,Rice Cultivation Area,513400,Ha,,Mainland
1997,Agriculture,cultivated area,Agricultural land area,337030,Ha,,Mainland
1997,Agriculture,cultivated area,Rice Cultivation Area,439300,Ha,,Mainland
1998,Agriculture,cultivated area,Agricultural land area,338000,Ha,,Mainland
1998,Agriculture,cultivated area,Rice Cultivation Area,654500,Ha,,Mainland
1999,Agriculture,cultivated area,Agricultural land area,339000,Ha,,Mainland
1999,Agriculture,cultivated area,Rice Cultivation Area,379100,Ha,,Mainland
2000,Agriculture,cultivated area,Agricultural land area,340000,Ha,,Mainland
2000,Agriculture,cultivated area,Rice Cultivation Area,415600,Ha,,Mainland
2001,Agriculture,cultivated area,Agricultural land area,341000,Ha,,Mainland
2001,Agriculture,cultivated area,Rice Cultivation Area,405860,Ha,,Mainland
2002,Agriculture,cultivated area,Agricultural land area,342000,Ha,,Mainland
2002,Agriculture,cultivated area,Rice Cultivation Area,565600,Ha,,Mainland
2003,Agriculture,cultivated area,Agricultural land area,342700,Ha,,Mainland
2003,Agriculture,cultivated area,Rice Cultivation Area,620800,Ha,,Mainland
